SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,631 Ofarrell St #1510,San Francisco,CA,94109,449000,0,1.0,San Francisco,520,,,3,863,759,Active,September-12-2021 01:00 PM,September-12-2021 03:00 PM,http://www.redfin.com/CA/San-Francisco/631-O-Farrell-St-94109/unit-1510/home/1144939,San Francisco MLS,421590261,N,Y,37.7852037,-122.4151808
MLS Listing,,Multi-Family (2-4 Unit),527 - 529 3rd Ave,San Francisco,CA,94118,1299000,4,2.0,San Francisco,2500,4077,1906,3,520,,Active,September-12-2021 01:00 PM,September-12-2021 03:00 PM,http://www.redfin.com/CA/San-Francisco/527-3rd-Ave-94118/home/981171,San Francisco MLS,421591923,N,Y,37.7786239,-122.4612168
MLS Listing,,Condo/Co-op,25 Hotaling Pl Unit E,San Francisco,CA,94111,1350000,2,1.5,San Francisco,1072,5156,1900,3,1259,469,Active,September-12-2021 01:00 PM,September-12-2021 03:00 PM,http://www.redfin.com/CA/San-Francisco/25-Hotaling-Pl-94111/unit-E/home/28938970,San Francisco MLS,421592491,N,Y,37.7958317,-122.4029214
MLS Listing,,Single Family Residential,1470 23rd Ave,San Francisco,CA,94122,1298000,3,1.0,San Francisco,1470,2996,1923,3,883,,Active,September-12-2021 02:00 PM,September-12-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/1470-23rd-Ave-94122/home/1992489,San Francisco MLS,421592553,N,Y,37.7602286,-122.4809879
MLS Listing,,Condo/Co-op,276 21st Ave,San Francisco,CA,94121,1695000,4,2.0,San Francisco,1900,3000,1922,3,892,280,Active,September-12-2021 01:00 PM,September-12-2021 03:00 PM,http://www.redfin.com/CA/San-Francisco/276-21st-Ave-94121/home/607333,San Francisco MLS,421561159,N,Y,37.782718,-122.480297
MLS Listing,,Condo/Co-op,605 Baker St Unit B,San Francisco,CA,94117,1198000,2,2.0,San Francisco,1010,3852,1900,3,1186,337,Active,September-12-2021 02:00 PM,September-12-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/605-Baker-St-94117/unit-B/home/12354400,San Francisco MLS,421592574,N,Y,37.7765622,-122.4417741
MLS Listing,,Condo/Co-op,2812 19th St,San Francisco,CA,94110,1850000,3,3.0,San Francisco,1820,1875,1900,3,1016,,Active,September-12-2021 02:00 PM,September-12-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/2812-19th-St-94110/home/859797,San Francisco MLS,421587873,N,Y,37.7606273,-122.410462
MLS Listing,,Single Family Residential,98 Anderson St,San Francisco,CA,94110,2795000,4,3.5,San Francisco,2345,1750,1909,3,1192,,Active,September-12-2021 01:00 PM,September-12-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/98-Anderson-St-94110/home/2019570,San Francisco MLS,421592532,N,Y,37.7416929,-122.4152027
MLS Listing,,Single Family Residential,1482 29th Ave,San Francisco,CA,94122,1599000,4,1.5,San Francisco,2045,2495,1931,3,782,,Active,September-12-2021 02:00 PM,September-12-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/1482-29th-Ave-94122/home/2027023,San Francisco MLS,421585843,N,Y,37.7597356,-122.4873009
MLS Listing,,Condo/Co-op,1635 Lombard St,San Francisco,CA,94123,1799000,3,2.5,San Francisco,1509,1488,,3,1192,354,Active,September-12-2021 02:00 PM,September-12-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/1635-Lombard-St-94123/home/11743012,San Francisco MLS,421588988,N,Y,37.8006158,-122.4283533
